route	words	reason
/1c-integration/	117	thin or legacy content; expand/review before indexing
/3d-design-service/	118	thin or legacy content; expand/review before indexing
/3d-printer-setup/	117	thin or legacy content; expand/review before indexing
/3d-printing-service/	119	thin or legacy content; expand/review before indexing
/3d-prototyping/	116	thin or legacy content; expand/review before indexing
/3d-training/	114	thin or legacy content; expand/review before indexing
/3d-website-development/	118	thin or legacy content; expand/review before indexing
/ads-platform-setup/	116	thin or legacy content; expand/review before indexing
/ai-business-automation/	119	thin or legacy content; expand/review before indexing
/ai-call-center/	119	thin or legacy content; expand/review before indexing
/ai-database-conversion/	118	thin or legacy content; expand/review before indexing
/ai-hardware-integration/	93	thin or legacy content; expand/review before indexing
/ai-outbound-calling/	119	thin or legacy content; expand/review before indexing
/ai-robots/	95	thin or legacy content; expand/review before indexing
/ai-sales-agent/	118	thin or legacy content; expand/review before indexing
/ai-training/	114	thin or legacy content; expand/review before indexing
/automation-hardware/	89	thin or legacy content; expand/review before indexing
/automation-scripts/	117	thin or legacy content; expand/review before indexing
/bitrix24-automation/	114	thin or legacy content; expand/review before indexing
/bitrix24-implementation/	117	thin or legacy content; expand/review before indexing
/bitrix24-license/	116	thin or legacy content; expand/review before indexing
/branding-design/	116	thin or legacy content; expand/review before indexing
/business-bot-development/	117	thin or legacy content; expand/review before indexing
/business-process-digitization/	118	thin or legacy content; expand/review before indexing
/computer-vision-robotics/	88	thin or legacy content; expand/review before indexing
/content-repurposing/	116	thin or legacy content; expand/review before indexing
/corporate-software-setup/	118	thin or legacy content; expand/review before indexing
/crm-customization/	119	thin or legacy content; expand/review before indexing
/crm-migration/	118	thin or legacy content; expand/review before indexing
/cross-posting-automation/	116	thin or legacy content; expand/review before indexing
/cross-posting/	119	thin or legacy content; expand/review before indexing
/custom-hardware-software/	97	thin or legacy content; expand/review before indexing
/custom-software-development/	117	thin or legacy content; expand/review before indexing
/database-reactivation-sales/	119	thin or legacy content; expand/review before indexing
/digital-audit/	118	thin or legacy content; expand/review before indexing
/digital-department-as-a-service/	116	thin or legacy content; expand/review before indexing
/digital-marketing-training/	115	thin or legacy content; expand/review before indexing
/digital-transformation/	115	thin or legacy content; expand/review before indexing
/edge-ai-robotics/	95	thin or legacy content; expand/review before indexing
/educational-robotics/	95	thin or legacy content; expand/review before indexing
/electronic-art/	116	thin or legacy content; expand/review before indexing
/electronics-prototyping/	89	thin or legacy content; expand/review before indexing
/embedded-systems/	89	thin or legacy content; expand/review before indexing
/full-digital-outsourcing/	117	thin or legacy content; expand/review before indexing
/google-ads-setup/	117	thin or legacy content; expand/review before indexing
/group-tech-training/	118	thin or legacy content; expand/review before indexing
/humanoid-robot-development/	96	thin or legacy content; expand/review before indexing
/individual-tech-training/	117	thin or legacy content; expand/review before indexing
/invest/	96	thin or legacy content; expand/review before indexing
/iot-development/	92	thin or legacy content; expand/review before indexing
/it-outsourcing-business/	113	thin or legacy content; expand/review before indexing
/it-product-from-idea/	98	thin or legacy content; expand/review before indexing
/jetson-robotics/	95	thin or legacy content; expand/review before indexing
/lead-qualification-service/	115	thin or legacy content; expand/review before indexing
/local-ai-devices/	93	thin or legacy content; expand/review before indexing
